time,strain
0.2521762176217622,1.0657836029808112e-23
0.2521922192219222,7.347058641361008e-24
0.2522082208220822,1.1494018809851029e-24
0.25222422242224224,1.0194192148941113e-24
0.25224022402240226,-3.5964069104511635e-24
0.2522562256225623,1.7846549491854512e-25
0.25227222722272225,-6.301712359589222e-25
0.25228822882288227,-6.107483215653165e-24
0.2523042304230423,-9.454380165021105e-24
0.2523202320232023,-8.219038524293146e-24
0.2523362336233623,-1.0468550650773216e-23
0.25235223522352235,-1.0258280328087228e-23
0.25236823682368237,-1.5587134643140674e-23
0.2523842384238424,-1.1993213248876292e-23
0.2524002400240024,-1.820575698764338e-23
0.25241624162416243,-2.187878983210544e-23
0.25243224322432245,-1.6585890048860933e-23
0.25244824482448247,-2.4820947645104056e-23
